City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,polyarnyy,69.1989,33.4478,8.77,80,100,7.15,RU,1689976724
300,fort bragg,35.139,-79.006,35.75,43,20,6.17,US,1689976315
301,haiku-pauwela,20.9219,-156.3051,29.01,55,20,8.75,US,1689976657
302,camacupa,-12.0167,17.4833,19.25,32,64,0.54,AO,1689976422
303,fort st. john,56.2499,-120.8529,23.94,50,75,4.63,CA,1689976422
304,arkalyk,50.2486,66.9114,16.67,57,17,2.01,KZ,1689976422
305,leer,53.2316,7.461,13.3,89,65,4.21,DE,1689976422
306,lashio,22.9333,97.75,20.81,99,100,0.42,MM,1689976422
307,pudozh,61.8099,36.5345,12.32,98,100,3.53,RU,1689976423
308,thunder bay,48.4001,-89.3168,25.99,44,40,4.63,CA,1689976407
309,saint-joseph,-21.3667,55.6167,19.21,85,55,6.02,RE,1689976782
310,mahibadhoo,3.7833,72.9667,27.52,77,100,4.34,MV,1689976423
311,prineville,44.2999,-120.8345,37.24,11,0,4.12,US,1689976423
312,shahrak,34.1074,64.3052,15.52,41,0,2.02,AF,1689976424
313,deltebre,40.7499,0.7868,25.05,79,41,3.49,ES,1689976424
314,altai,46.3722,96.2583,12.58,59,0,1.07,MN,1689976783
315,guelmim,28.987,-10.0574,21.19,78,0,7.2,MA,1689976424
316,port douglas,-16.4833,145.4667,21.34,74,0,1.82,AU,1689976281
317,flin flon,54.7682,-101.865,24.91,47,75,5.14,CA,1689976303
318,alice springs,-23.7,133.8833,0.75,93,0,2.57,AU,1689976425
319,kabalo,-6.05,26.9167,26.46,34,40,1.94,CD,1689976425
320,merritt island,28.5392,-80.672,35.6,67,20,4.63,US,1689976425
321,nyurba,63.2842,118.3319,18.05,81,77,1.34,RU,1689976425
322,la mure,44.9026,5.7866,13.41,90,92,1.72,FR,1689976426
323,mahanje,-9.9333,35.3333,14.24,84,48,1.18,TZ,1689976426
324,aasiaat,68.7098,-52.8699,3.65,96,96,5.37,GL,1689976640
325,humaita,-7.5061,-63.0208,29.35,42,15,1.04,BR,1689976331
326,remire-montjoly,4.9167,-52.2667,25.02,88,75,2.57,GF,1689976783
327,santiago de cao,-7.9589,-79.2392,23.07,78,100,3.6,PE,1689976426
328,cocal,-28.6167,-49.35,18.5,88,4,1.8,BR,1689976427
329,rifle,39.5347,-107.7831,33.33,15,0,2.57,US,1689976427
330,cody,44.5263,-109.0565,31.11,28,0,5.14,US,1689976427
331,nagqu,31.5,92.0,1.98,71,1,1.29,CN,1689976427
332,north bend,43.4065,-124.2243,27.36,72,0,5.66,US,1689976428
333,mil'kovo,55.6078,37.7956,15.73,68,17,3.44,RU,1689976428
334,quellon,-43.1167,-73.6167,9.14,87,75,3.6,CL,1689976428
335,malaya vishera,58.8454,32.2222,12.94,80,100,3.45,RU,1689976428
336,benguela,-12.5763,13.4055,19.67,87,37,2.57,AO,1689976428
337,tut,37.7953,37.9161,29.52,30,0,4.45,TR,1689976429
338,leordeni,44.7833,25.1167,22.33,53,4,4.33,RO,1689976429
339,camocim,-2.9022,-40.8411,26.53,70,3,6.83,BR,1689976429
340,sidareja,-7.4846,108.7923,20.6,97,50,0.45,ID,1689976429
341,catacocha,-4.0667,-79.6333,23.84,44,24,3.19,EC,1689976430
342,tampakan,6.4442,124.9264,23.43,95,98,0.3,PH,1689976430
343,moron,-34.6534,-58.6198,23.33,82,100,4.71,AR,1689976430
344,bhuj,23.2667,69.6667,28.13,85,100,6.29,IN,1689976229
345,kijang,35.2442,129.2139,21.85,87,73,2.76,KR,1689976430
346,cole harbour,44.6724,-63.4751,19.99,97,39,3.6,CA,1689976431
347,bubaque,11.2833,-15.8333,27.75,84,99,6.43,GW,1689976789
348,naha,26.2125,127.6811,28.95,88,40,2.57,JP,1689976266
349,san pedro pochutla,15.7333,-96.4667,32.06,58,65,3.09,MX,1689976431
350,mumbwa,-14.9783,27.0619,17.32,54,18,4.21,ZM,1689976431
351,dataganj,28.0333,79.4,31.75,59,88,5.1,IN,1689976432
352,parras de la fuente,25.4167,-102.1833,32.57,21,33,6.48,MX,1689976368
353,weno,7.4515,151.8468,27.89,79,58,5.02,FM,1689976790
354,chippewa falls,44.9369,-91.3929,29.43,44,0,2.57,US,1689976324
355,tiznit,29.5833,-9.5,25.64,49,0,0.89,MA,1689976432
356,nago,26.5881,127.9761,28.47,81,61,3.14,JP,1689976432
357,mata-utu,-13.2816,-176.1745,27.96,79,11,3.22,WF,1689976791
358,sisimiut,66.9395,-53.6735,6.09,94,100,2.8,GL,1689976791
359,kasangulu,-4.5911,15.1708,24.93,52,98,1.86,CD,1689976433
360,inhambane,-23.865,35.3833,17.9,73,50,3.26,MZ,1689976433
361,metlili chaamba,32.2667,3.6333,38.52,10,0,3.6,DZ,1689976433
362,keflavik,64.0049,-22.5624,12.95,87,100,5.66,IS,1689976716
